Stack A Test 1:
Element 1: 1, Pos: 1, Index: 1
Element 2: 2, Pos: 2, Index: 2
Element 3: 3, Pos: 3, Index: 3
Element 4: 4, Pos: 4, Index: 4
Element 5: 5, Pos: 5, Index: 5
Element 6: 6, Pos: 6, Index: 6
Element 7: 7, Pos: 7, Index: 7
Element 8: 8, Pos: 8, Index: 8
Element 9: 9, Pos: 9, Index: 9
Element 10: 10, Pos: 10, Index: 10
Element 11: 11, Pos: 11, Index: 11
Element 12: 12, Pos: 12, Index: 12
Element 13: 13, Pos: 13, Index: 13
Element 14: 14, Pos: 14, Index: 14
Element 15: 15, Pos: 15, Index: 15
Element 16: 16, Pos: 16, Index: 16
Element 17: 17, Pos: 17, Index: 17
Element 18: 18, Pos: 18, Index: 18
Element 19: 19, Pos: 19, Index: 19
Element 20: 20, Pos: 20, Index: 20
Element 21: 21, Pos: 21, Index: 21
Element 22: 22, Pos: 22, Index: 22
Element 23: 23, Pos: 23, Index: 23
Element 24: 24, Pos: 24, Index: 24
Element 25: 25, Pos: 25, Index: 25
Element 26: 26, Pos: 26, Index: 26
Element 27: 27, Pos: 27, Index: 27
Element 28: 28, Pos: 28, Index: 28
Element 29: 29, Pos: 29, Index: 29
Element 30: 30, Pos: 30, Index: 30
Element 31: 31, Pos: 31, Index: 31
Element 32: 32, Pos: 32, Index: 32
Element 33: 33, Pos: 33, Index: 33
Element 34: 34, Pos: 34, Index: 34
Element 35: 35, Pos: 35, Index: 35
Element 36: 36, Pos: 36, Index: 36
Element 37: 37, Pos: 37, Index: 37
Element 38: 38, Pos: 38, Index: 38
Element 39: 39, Pos: 39, Index: 39
Element 40: 40, Pos: 40, Index: 40
Element 41: 41, Pos: 41, Index: 41
Element 42: 42, Pos: 42, Index: 42
Element 43: 43, Pos: 43, Index: 43
Element 44: 44, Pos: 44, Index: 44
Element 45: 45, Pos: 45, Index: 45
Element 46: 46, Pos: 46, Index: 46
Element 47: 47, Pos: 47, Index: 47
Element 48: 48, Pos: 48, Index: 48
Element 49: 49, Pos: 49, Index: 49
Element 50: 50, Pos: 50, Index: 50
Element 51: 51, Pos: 51, Index: 51
Element 52: 52, Pos: 52, Index: 52
Element 53: 53, Pos: 53, Index: 53
Element 54: 54, Pos: 54, Index: 54
Element 55: 55, Pos: 55, Index: 55
Element 56: 56, Pos: 56, Index: 56
Element 57: 57, Pos: 57, Index: 57
Element 58: 58, Pos: 58, Index: 58
Element 59: 59, Pos: 59, Index: 59
